ProvinceKey,FuelKey,DateKey,Year,Generation_GWh,SourceFlag
ON,NUC,20211231,2021,81565,CER
ON,HYD,20211231,2021,35592,CER
ON,WND,20211231,2021,11864,CER
ON,SOL,20211231,2021,5932,CER
ON,GAS,20211231,2021,11864,EST
ON,BIO,20211231,2021,1483,EST
AB,GAS,20211231,2021,46557,CER
AB,COA,20211231,2021,16258,CER
AB,WND,20211231,2021,6651,CER
AB,HYD,20211231,2021,2217,CER
AB,BIO,20211231,2021,1478,CER
AB,SOL,20211231,2021,739,EST
